2,001,000,0,3
2,004,002,0,0
2,00B,005,0,0
2,00E,005,0,0
2,010,00A,0,0
2,015,00A,0,0
2,01A,00A,0,0
2,01F,00A,0,0
2,023,015,0,0
2,026,015,0,0
2,029,015,0,0
2,02C,015,0,0
2,032,015,0,0
2,037,015,0,0
2,038,015,0,0
2,03D,015,0,0
2,083,055,0,0
2,086,055,0,0
2,089,055,0,0
2,08C,055,0,0
2,092,055,0,0
2,097,055,0,0
2,098,055,0,0
2,09D,055,0,0
2,0A1,055,0,0
2,0A4,055,0,0
2,0AB,055,0,0
2,0AE,055,0,0
2,0B0,055,0,0
2,0B5,055,0,0
2,0BA,055,0,0
2,0BF,055,0,0
2,400,2AA,0,0
2,405,2AA,0,0
2,40A,2AA,0,0
2,40F,2AA,0,0
2,411,2AA,0,0
2,414,2AA,0,0
2,41B,2AA,0,0
2,41E,2AA,0,0
2,422,2AA,0,0
2,427,2AA,0,0
2,428,2AA,0,0
2,42D,2AA,0,0
2,433,2AA,0,0
2,436,2AA,0,0
2,439,2AA,0,0
2,43C,2AA,0,0
2,482,2AA,0,0
2,487,2AA,0,0
2,488,2AA,0,0
2,48D,2AA,0,0
2,493,2AA,0,0
2,496,2AA,0,0
2,499,2AA,0,0
2,49C,2AA,0,0
2,4A0,2AA,0,0
2,4A5,2AA,0,0
2,4AA,2AA,0,0
2,4AF,2AA,0,0
2,4B1,2AA,0,0
2,4B4,2AA,0,0
2,4BB,2AA,0,0
2,4BE,2AA,0,0
2,803,555,0,0
2,806,555,0,0
2,809,555,0,0
2,80C,555,0,0
2,812,555,0,0
2,817,555,0,0
2,818,555,0,0
2,81D,555,0,0
2,821,555,0,0
2,824,555,0,0
2,82B,555,0,0
2,82E,555,0,0
2,830,555,0,0
2,835,555,0,0
2,83A,555,0,0
2,83F,555,0,0
2,881,555,0,0
2,884,555,0,0
2,88B,555,0,0
2,88E,555,0,0
2,890,555,0,0
2,895,555,0,0
2,89A,555,0,0
2,89F,555,0,0
2,8A3,555,0,0
2,8A6,555,0,0
2,8A9,555,0,0
2,8AC,555,0,0
2,8B2,555,0,0
2,8B7,555,0,0
2,8B8,555,0,0
2,8BD,555,0,0
2,C02,555,0,0
2,C07,555,0,0
2,C08,555,0,0
2,C0D,555,0,0
2,C13,555,0,0
2,C16,555,0,0
2,C19,555,0,0
2,C1C,555,0,0
2,C20,555,0,0
2,C25,555,0,0
2,C2A,555,0,0
2,C2F,555,0,0
2,C31,555,0,0
2,C34,555,0,0
2,C3B,555,0,0
2,C3E,555,0,0
2,C80,555,0,0
2,C85,555,0,0
2,C8A,555,0,0
2,C8F,555,0,0
2,C91,555,0,0
2,C94,555,0,0
2,C9B,555,0,0
2,C9E,555,0,0
2,CA2,555,0,0
2,CA7,555,0,0
2,CA8,555,0,0
2,CAD,555,0,0
2,CB3,555,0,0
2,CB6,555,0,0
2,CB9,555,0,0
2,CBC,555,0,0
3,003,000,-1,3
3,00A,002,-1,0
3,011,004,-1,0
3,018,004,-1,0
3,027,009,-1,0
3,02E,009,-1,0
3,035,009,-1,0
3,03C,009,-1,0
3,081,024,-1,0
3,088,024,-1,0
3,093,024,-1,0
3,09A,024,-1,0
3,0A5,024,-1,0
3,0AC,024,-1,0
3,0B7,024,-1,0
3,0BE,024,-1,0
3,401,124,-1,0
3,408,124,-1,0
3,413,124,-1,0
3,41A,124,-1,0
3,425,124,-1,0
3,42C,124,-1,0
3,437,124,-1,0
3,43E,124,-1,0
3,483,124,-1,0
3,48A,124,-1,0
3,491,124,-1,0
3,498,124,-1,0
3,4A7,124,-1,0
